1	518	656	201	494	186	712	1174	-462
2	662	421	314	445	281	656	1083	-427
3	624	916	777	613	450	1603	1540	63
4	623	425	588	906	288	1239	1048	191
5	582	461	523	322	1222	1479	1043	436
6	432	467	693	143	462	1451	899	552
7	502	138	42	160	228	1244	640	604
8	581	167	737	6	830	1390	748	642
9	280	980	684	506	1111	2172	1260	912
10	586	708	407	878	1409	2365	1294	1071
11	434	885	25	81	406	2463	1319	1144
12	61	690	55	586	1663	1958	751	1207
13	673	589	663	974	1456	2487	1262	1225
14	131	923	111	568	1566	2286	1054	1232
15	491	915	363	285	632	2642	1406	1236
16	489	518	332	323	1998	2379	1007	1372
17	198	840	478	635	1451	2410	1038	1372
18	666	188	504	995	208	2340	854	1486
19	558	292	107	920	330	2387	850	1537
20	96	421	46	27	1262	2131	517	1614
21	661	793	411	951	2123	3229	1454	1775
22	148	585	157	112	1613	2595	733	1862
23	508	681	180	701	2744	3179	1189	1990
24	764	965	106	660	1771	4080	1729	2351
25	314	563	141	419	2744	3381	877	2504
26	185	523	83	201	2507	3375	708	2667
27	530	416	189	909	2477	3621	946	2675
28	750	114	668	304	3059	3629	864	2765
29	269	492	252	561	3412	3577	761	2816
30	71	674	33	713	3467	3562	745	2817
31	247	549	29	56	2349	3712	796	2916
32	227	816	658	454	1639	4215	1043	3172
33	395	43	296	955	244	3620	438	3182
34	219	215	154	449	2806	3698	434	3264
35	268	768	376	617	3434	4340	1036	3304
36	176	699	774	428	1349	4194	875	3319
37	219	277	244	256	3766	3905	496	3409
38	3	203	346	877	721	3756	206	3550
39	317	840	328	492	4380	4759	1157	3602
40	73	600	470	606	3816	4433	673	3760
41	613	505	257	253	3385	4966	1118	3848
42	784	431	379	158	3227	5074	1215	3859
43	85	547	533	747	3861	4698	632	4066
44	67	382	524	997	2313	4668	449	4219
45	394	514	81	89	3594	5285	908	4377
46	91	482	772	430	2956	4966	573	4393
47	591	639	361	143	4166	5710	1230	4480
48	482	285	519	899	4551	5248	767	4481
49	103	553	333	935	3777	5260	656	4604
50	72	536	672	404	2985	5259	608	4651
51	176	19	653	427	3866	4911	195	4716
52	126	185	470	739	4056	5036	311	4725
53	70	960	521	212	3311	5812	1030	4782
54	789	421	463	561	5017	6337	1210	5127
55	610	690	448	236	5882	6523	1300	5223
56	23	441	207	732	4790	5727	464	5263
57	123	156	298	128	5307	5573	279	5294
58	243	102	507	792	3941	5654	345	5309
59	305	985	471	874	5985	6773	1290	5483
60	423	12	182	287	4323	6027	435	5592
61	393	624	655	886	6056	6633	1017	5616
62	558	342	663	278	6098	6562	900	5662
63	517	208	599	956	4124	6414	725	5689
64	311	1	191	859	4743	6124	312	5812
65	316	274	787	308	5261	6548	590	5958
